net,length_um
net34,238.1µm
net17,229.85µm
_016_,192.18µm
clk_scaled,168.61µm
net14,163.67µm
net25,158.73µm
net26,154.25µm
net27,153.64µm
net19,151.86µm
net24,150.18µm
net29,145.24µm
net20,141.88µm
net12,140.76µm
net30,138.47µm
net28,138.01µm
net31,137.45µm
net4,131.14µm
net23,130.17µm
_161_,129.15µm
signal_gen.enableA,117.75µm
net18,117.7µm
net5,115.46µm
net21,114.34µm
net33,109.96µm
net22,109.5µm
net13,107.16µm
_147_,97.59µm
signal_gen.volA\[2\],95.35µm
net16,86.95µm
signal_gen.volN\[3\],81.86µm
signal_gen.envA\[2\],81.45µm
net15,77.89µm
signal_gen.envA\[1\],76.97µm
_133_,75.65µm
clknet_1_0__leaf_clk,74.53µm
_160_,73.51µm
clk_scaler.counter\[0\],72.85µm
signal_gen.volN\[2\],70.05µm
signal_gen.envA_gen.state\[0\],67.3µm
net32,66.94µm
_123_,65.06µm
signal_gen.volA\[1\],64.5µm
signal_gen.mix.started,62.87µm
_229_,61.85µm
signal_gen.envA\[3\],61.85µm
net6,61.09µm
_125_,59µm
net8,58.8µm
signal_gen.volA\[0\],57.32µm
net7,57.17µm
signal_gen.mix.n_val\[1\],56.05µm
_121_,55.54µm
_191_,52.69µm
_177_,51.77µm
_164_,51.72µm
signal_gen.periodA\[4\],51.01µm
signal_gen.tonegenA.counter\[0\],50.55µm
_171_,49.94µm
signal_gen.volA\[3\],49.38µm
_135_,48.26µm
clk_scaler.counter\[3\],48.26µm
_193_,47.19µm
signal_gen.noise_gen.noise_reg\[4\],46.53µm
signal_gen.mix.noise,43.83µm
signal_gen.mix.waveA,43.83µm
signal_gen.pwmGen.clk_cnt\[0\],43.78µm
net1,43.73µm
clk_scaler.counter\[1\],43.12µm
_236_,42.1µm
clk_scaler.counter\[2\],40.42µm
_225_,40.37µm
_307_,39.86µm
clknet_1_1__leaf_clk,39.86µm
_126_,39.35µm
signal_gen.mix.a_val\[1\],38.74µm
net3,38.69µm
signal_gen.volN\[1\],37.57µm
_130_,35.33µm
signal_gen.mix.mixout\[2\],35.33µm
signal_gen.mix.n_val\[4\],34.31µm
signal_gen.pwmGen.clk_cnt\[6\],33.9µm
signal_gen.envA\[0\],33.19µm
_145_,33.09µm
signal_gen.pwmGen.clk_cnt\[2\],33.09µm
_157_,32.48µm
signal_gen.envA_gen.timer\[0\],32.48µm
signal_gen.mix.n_val\[2\],32.02µm
signal_gen.periodA\[0\],32.02µm
net9,31.97µm
_113_,31.41µm
_309_,31µm
_112_,30.95µm
signal_gen.tonegenA.counter\[5\],30.9µm
_174_,30.8µm
signal_gen.mix.a_val\[4\],30.39µm
signal_gen.pwmGen.clk_cnt\[1\],29.73µm
signal_gen.mix.a_val\[0\],29.22µm
signal_gen.noise_gen.noise_reg\[13\],29.17µm
_259_,28.71µm
_153_,28.66µm
_206_,28.66µm
signal_gen.periodA\[3\],28.66µm
_253_,28.05µm
signal_gen.mix.sum\[2\],28.05µm
_228_,27.54µm
_000_,27.49µm
net11,27.44µm
_249_,26.93µm
signal_gen.mix.a_val\[2\],26.93µm
_172_,26.47µm
signal_gen.noise_gen.noise_reg\[3\],26.42µm
_238_,26.37µm
_214_,25.91µm
_132_,25.76µm
signal_gen.tonegenA.counter\[1\],25.35µm
_082_,25.25µm
_244_,25.25µm
signal_gen.pwmGen.clk_cnt\[5\],25.25µm
signal_gen.mix.a_val\[3\],24.79µm
signal_gen.periodA\[2\],24.69µm
signal_gen.pwmGen.clk_cnt\[3\],24.69µm
signal_gen.tonegenA.counter\[3\],24.69µm
clk,24.55µm
address_in[1],24.5µm
_131_,23.62µm
signal_gen.envA_gen.state\[1\],23.62µm
_114_,23.57µm
_201_,23.57µm
_181_,23.52µm
signal_gen.noise_gen.noise_reg\[6\],23.52µm
_102_,23.01µm
_175_,23.01µm
_239_,23.01µm
_127_,22.45µm
signal_gen.mix.mixout\[7\],22.45µm
_305_,21.94µm
_304_,21.53µm
signal_gen.envA_gen.timer\[3\],21.48µm
signal_gen.pwmGen.clk_cnt\[4\],21.43µm
_291_,21.38µm
signal_gen.tonegenA.counter\[6\],21.38µm
_252_,21.33µm
write_strobe_in,21.14µm
_146_,20.92µm
_149_,20.87µm
clk_scaler.counter\[4\],20.82µm
_106_,20.31µm
_105_,20.26µm
_215_,20.26µm
_046_,20.21µm
signal_gen.mix.sum\[5\],20.16µm
data_in[1],20.02µm
_111_,19.75µm
signal_gen.tonegenA.counter\[4\],19.75µm
_037_,19.7µm
_107_,19.7µm
clknet_0_clk,19.65µm
_274_,19.65µm
_278_,19.65µm
signal_gen.volN\[0\],19.65µm
_222_,19.24µm
signal_gen.envA_gen.timer\[2\],19.14µm
signal_gen.noise_gen.noise_reg\[12\],19.14µm
_285_,19.09µm
net2,19.09µm
signal_gen.mix.mixout\[3\],18.58µm
_129_,18.53µm
_116_,18.48µm
_210_,18.07µm
