net,length_um
_226_,18.02µm
signal_gen.mix.sum\[1\],17.97µm
_183_,17.51µm
_279_,17.46µm
signal_gen.noise_gen.noise_reg\[11\],17.46µm
_158_,17.41µm
_192_,17.41µm
_213_,17.41µm
_237_,17.36µm
data_in[0],17.22µm
_115_,16.95µm
signal_gen.mix.sum\[4\],16.9µm
_219_,16.85µm
_311_,16.85µm
net37,16.8µm
signal_gen.mix.mixout\[4\],16.34µm
signal_gen.mix.sum\[0\],16.34µm
_167_,16.29µm
_212_,16.29µm
_267_,16.24µm
_155_,15.83µm
_118_,15.78µm
signal_gen.mix.sum\[3\],15.78µm
_052_,15.73µm
_083_,15.73µm
_122_,15.73µm
_293_,15.73µm
_097_,15.12µm
data_in[4],14.98µm
signal_gen.mix.n_val\[3\],14.89µm
_227_,14.61µm
signal_gen.noise_gen.noise_reg\[5\],14.61µm
_151_,14.15µm
_110_,14.1µm
_246_,14.1µm
signal_gen.pwmGen.clk_cnt\[7\],14.1µm
_180_,14.05µm
_275_,14.05µm
_134_,14µm
ena,13.86µm
_240_,13.59µm
signal_gen.noise_gen.noise_reg\[0\],13.59µm
_038_,13.49µm
_079_,13.49µm
_265_,13.49µm
signal_gen.noise_gen.noise_reg\[8\],13.44µm
data_in[3],13.3µm
_120_,12.98µm
signal_gen.noise_gen.noise_reg\[10\],12.98µm
_018_,12.93µm
_207_,12.93µm
_270_,12.93µm
_068_,12.88µm
net10,12.88µm
address_in[0],12.74µm
_137_,12.47µm
_001_,12.37µm
_186_,12.37µm
_209_,12.37µm
_273_,12.37µm
signal_gen.noise_gen.noise_reg\[9\],12.37µm
_162_,12.32µm
_211_,11.86µm
_053_,11.81µm
_085_,11.81µm
_204_,11.81µm
signal_gen.tonegenA.counter\[2\],11.81µm
_182_,11.3µm
_263_,11.3µm
signal_gen.noise_gen.noise_reg\[7\],11.3µm
_090_,11.25µm
_136_,11.25µm
_096_,11.2µm
_108_,11.2µm
_173_,11.2µm
signal_gen.envA_gen.timer\[1\],11.2µm
signal_gen.noise_gen.feedback,11.2µm
_103_,10.74µm
_179_,10.74µm
signal_gen.periodA\[1\],10.74µm
_012_,10.69µm
_286_,10.69µm
_066_,10.64µm
_166_,10.64µm
_223_,10.64µm
_232_,10.64µm
_294_,10.64µm
_300_,10.64µm
_163_,10.23µm
_057_,10.18µm
_074_,10.18µm
_276_,10.18µm
_051_,10.13µm
_084_,10.13µm
_095_,10.13µm
_154_,10.13µm
_261_,10.13µm
signal_gen.enableN,10.13µm
_220_,10.08µm
_242_,10.08µm
_248_,10.08µm
clk_scaler.counter\[5\],10.08µm
signal_gen.tonegenA.counter\[7\],10.08µm
_176_,9.62µm
_014_,9.57µm
_258_,9.57µm
_283_,9.57µm
_028_,9.52µm
_009_,9.01µm
_015_,9.01µm
_033_,9.01µm
_054_,9.01µm
_065_,9.01µm
_011_,8.96µm
_109_,8.96µm
_170_,8.96µm
_277_,8.96µm
_281_,8.96µm
_221_,8.55µm
_043_,8.45µm
_243_,8.45µm
_247_,8.45µm
_047_,8.4µm
_088_,8.4µm
_091_,8.4µm
_119_,8.4µm
_169_,8.4µm
_184_,8.4µm
_196_,8.4µm
_218_,8.4µm
_231_,8.4µm
signal_bit_out,8.26µm
_070_,7.94µm
_073_,7.94µm
_128_,7.94µm
_058_,7.89µm
_069_,7.89µm
_141_,7.89µm
_152_,7.89µm
_198_,7.89µm
signal_gen.mix.mixout\[5\],7.89µm
_045_,7.84µm
_061_,7.84µm
_075_,7.84µm
_081_,7.84µm
_092_,7.84µm
_159_,7.84µm
_202_,7.84µm
_205_,7.84µm
_251_,7.84µm
_266_,7.84µm
_308_,7.84µm
_027_,7.38µm
_241_,7.38µm
_144_,7.33µm
_010_,7.28µm
_062_,7.28µm
_148_,7.28µm
_187_,7.28µm
_188_,7.28µm
_234_,7.28µm
_255_,7.28µm
_284_,7.28µm
_313_,7.28µm
_072_,6.82µm
_185_,6.82µm
_310_,6.82µm
_042_,6.77µm
_059_,6.77µm
_077_,6.77µm
_080_,6.77µm
_093_,6.77µm
_019_,6.72µm
_049_,6.72µm
_078_,6.72µm
_099_,6.72µm
_306_,6.72µm
_021_,6.21µm
_060_,6.21µm
_233_,6.21µm
_030_,6.16µm
_139_,6.16µm
_257_,6.16µm
_269_,6.16µm
data_in[2],6.02µm
_056_,5.7µm
_117_,5.7µm
_143_,5.7µm
_008_,5.65µm
_002_,5.6µm
_017_,5.6µm
_025_,5.6µm
_063_,5.6µm
_195_,5.6µm
_268_,5.6µm
rst_n,5.46µm
_026_,5.14µm
_216_,5.14µm
_260_,5.14µm
_100_,5.09µm
_254_,5.09µm
_272_,5.09µm
_013_,5.04µm
_040_,5.04µm
_041_,5.04µm
_087_,5.04µm
_094_,5.04µm
_140_,5.04µm
_165_,5.04µm
_250_,5.04µm
_299_,5.04µm
_262_,4.58µm
_303_,4.58µm
net36,4.48µm
_034_,4.48µm
_035_,4.48µm
_044_,4.48µm
_048_,4.48µm
_064_,4.48µm
_067_,4.48µm
_086_,4.48µm
_142_,4.48µm
_287_,4.48µm
_297_,4.48µm
_302_,4.48µm
clk_scaler.counter\[6\],4.48µm
_023_,4.02µm
_271_,4.02µm
signal_gen.mix.mixout\[6\],4.02µm
_298_,3.97µm
_004_,3.92µm
_031_,3.92µm
_039_,3.92µm
_071_,3.92µm
_089_,3.92µm
_101_,3.92µm
_124_,3.92µm
_203_,3.92µm
_217_,3.92µm
_295_,3.92µm
address_in[2],3.83µm
_200_,3.41µm
_264_,3.41µm
_022_,3.36µm
_289_,3.36µm
signal_gen.noise_gen.noise_reg\[2\],3.36µm
net35,3.36µm
_104_,2.9µm
_197_,2.9µm
_224_,2.9µm
_003_,2.8µm
_020_,2.8µm
_029_,2.8µm
_032_,2.8µm
_036_,2.8µm
_055_,2.8µm
_098_,2.8µm
_138_,2.8µm
_168_,2.8µm
_189_,2.8µm
_190_,2.8µm
_208_,2.8µm
_292_,2.8µm
_296_,2.8µm
_301_,2.8µm
clk_scaler.counter\[7\],2.8µm
_150_,2.34µm
_280_,2.34µm
_312_,2.34µm
_050_,2.24µm
_076_,2.24µm
_178_,2.24µm
_235_,2.24µm
_256_,2.24µm
_290_,2.24µm
_024_,1.68µm
_156_,1.68µm
_194_,1.68µm
_245_,1.68µm
_199_,1.12µm
_230_,1.12µm
_282_,1.12µm
_288_,1.12µm
