Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_342,VDD,Metal1,195.1600,133.2800,5.000000
FILLER_32_308,VDD,Metal1,185.4755,132.5110,5.000000
FILLER_32_274,VDD,Metal1,166.4355,132.5110,5.000000
FILLER_32_240,VDD,Metal1,147.3955,132.5110,5.000000
FILLER_32_206,VDD,Metal1,128.3555,132.5110,4.999999
FILLER_32_203,VDD,Metal1,117.3200,133.2800,4.999999
FILLER_32_201,VDD,Metal1,116.4800,133.2800,4.999999
FILLER_32_197,VDD,Metal1,115.1800,132.8475,4.999999
FILLER_32_168,VDD,Metal1,98.0000,133.2800,4.999999
FILLER_32_150,VDD,Metal1,87.6400,133.2800,5.000000
FILLER_32_148,VDD,Metal1,86.8000,133.2800,5.000000
FILLER_32_138,VDD,Metal1,82.1400,132.8475,5.000000
FILLER_32_104,VDD,Metal1,71.2355,132.5110,5.000000
FILLER_32_101,VDD,Metal1,60.2000,133.2800,5.000000
FILLER_32_97,VDD,Metal1,59.1800,132.8475,5.000000
FILLER_32_89,VDD,Metal1,55.9465,132.7030,5.000000
FILLER_32_84,VDD,Metal1,50.6800,133.2800,5.000000
FILLER_32_78,VDD,Metal1,47.6000,133.2800,5.000000
FILLER_32_70,VDD,Metal1,45.3065,132.7030,5.000000
FILLER_32_36,VDD,Metal1,33.1555,132.5110,5.000000
FILLER_32_2,VDD,Metal1,14.1155,132.5110,5.000000
FILLER_31_342,VDD,Metal1,195.1600,125.4400,4.999945
FILLER_31_338,VDD,Metal1,194.1400,125.8725,4.999945
FILLER_31_330,VDD,Metal1,190.9065,126.0165,4.999945
FILLER_31_314,VDD,Metal1,184.2880,126.1320,4.999945
FILLER_31_282,VDD,Metal1,170.9155,126.2085,4.999945
FILLER_31_276,VDD,Metal1,159.4200,125.8725,4.999945
FILLER_31_212,VDD,Metal1,140.7150,126.2540,4.999945
FILLER_31_138,VDD,Metal1,81.2000,125.4400,4.999927
FILLER_31_131,VDD,Metal1,77.0000,125.4400,4.999927
FILLER_31_129,VDD,Metal1,76.1600,125.4400,4.999928
FILLER_31_113,VDD,Metal1,71.7280,126.1320,4.999928
FILLER_31_74,VDD,Metal1,45.0800,125.4400,4.999936
FILLER_31_72,VDD,Metal1,44.2400,125.4400,4.999939
FILLER_31_66,VDD,Metal1,41.8200,125.8725,4.999940
FILLER_31_2,VDD,Metal1,23.1150,126.2540,4.999940
FILLER_30_341,VDD,Metal1,194.8800,125.4400,4.999945
FILLER_30_333,VDD,Metal1,192.5865,124.8630,4.999945
FILLER_30_317,VDD,Metal1,185.9680,124.7480,4.999945
FILLER_30_311,VDD,Metal1,179.0200,125.0075,4.999945
FILLER_30_247,VDD,Metal1,160.3150,124.6255,4.999945
FILLER_30_243,VDD,Metal1,140.0000,125.4400,4.999945
FILLER_30_211,VDD,Metal1,131.1555,124.6710,4.999945
FILLER_30_185,VDD,Metal1,107.2400,125.4400,4.999937
FILLER_30_117,VDD,Metal1,71.6265,124.8630,4.999928
FILLER_30_107,VDD,Metal1,63.8400,125.4400,4.999936
FILLER_30_69,VDD,Metal1,42.5600,125.4400,4.999940
FILLER_30_37,VDD,Metal1,33.7155,124.6710,4.999940
FILLER_30_34,VDD,Metal1,22.6800,125.4400,4.999940
FILLER_30_2,VDD,Metal1,14.1155,124.6710,4.999940
FILLER_29_342,VDD,Metal1,195.1600,117.6000,4.999908
FILLER_29_338,VDD,Metal1,194.1400,118.0325,4.999908
FILLER_29_330,VDD,Metal1,190.9065,118.1765,4.999908
FILLER_29_314,VDD,Metal1,184.2880,118.2920,4.999908
FILLER_29_282,VDD,Metal1,170.9155,118.3685,4.999908
FILLER_29_278,VDD,Metal1,159.6000,117.6000,4.999908
FILLER_29_274,VDD,Metal1,158.3000,118.0325,4.999908
FILLER_29_242,VDD,Metal1,148.5155,118.3685,4.999908
FILLER_29_228,VDD,Metal1,133.7865,118.1765,4.999901
FILLER_29_212,VDD,Metal1,127.1680,118.2920,4.999901
FILLER_29_88,VDD,Metal1,53.2000,117.6000,4.999900
FILLER_29_72,VDD,Metal1,48.7680,118.2920,4.999900
FILLER_29_66,VDD,Metal1,41.8200,118.0325,4.999905
FILLER_29_2,VDD,Metal1,23.1150,118.4140,4.999931
FILLER_28_341,VDD,Metal1,194.8800,117.6000,4.999908
FILLER_28_333,VDD,Metal1,192.5865,117.0230,4.999908
FILLER_28_317,VDD,Metal1,185.9680,116.9080,4.999908
FILLER_28_311,VDD,Metal1,179.0200,117.1675,4.999908
FILLER_28_247,VDD,Metal1,160.3150,116.7855,4.999908
FILLER_28_244,VDD,Metal1,140.2800,117.6000,4.999905
FILLER_28_240,VDD,Metal1,139.2600,117.1675,4.999905
FILLER_28_224,VDD,Metal1,131.5465,117.0230,4.999901
FILLER_28_189,VDD,Metal1,109.4800,117.6000,4.999901
FILLER_28_115,VDD,Metal1,68.3200,117.6000,4.999900
FILLER_28_107,VDD,Metal1,66.0265,117.0230,4.999900
FILLER_28_70,VDD,Metal1,42.8400,117.6000,4.999904
FILLER_28_68,VDD,Metal1,42.0000,117.6000,4.999905
FILLER_28_59,VDD,Metal1,36.6800,117.6000,4.999931
FILLER_28_57,VDD,Metal1,35.8400,117.6000,4.999931
FILLER_28_53,VDD,Metal1,34.5400,117.1675,4.999931
FILLER_28_37,VDD,Metal1,29.1680,116.9080,4.999931
FILLER_28_34,VDD,Metal1,22.6800,117.6000,4.999931
FILLER_28_2,VDD,Metal1,14.1155,116.8310,4.999931
FILLER_27_342,VDD,Metal1,195.1600,109.7600,4.999958
FILLER_27_338,VDD,Metal1,194.1400,110.1925,4.999958
FILLER_27_330,VDD,Metal1,190.9065,110.3365,4.999958
FILLER_27_314,VDD,Metal1,184.2880,110.4520,4.999958
FILLER_27_282,VDD,Metal1,170.9155,110.5285,4.999958
FILLER_27_279,VDD,Metal1,159.8800,109.7600,4.999958
FILLER_27_275,VDD,Metal1,158.8600,110.1925,4.999958
FILLER_27_267,VDD,Metal1,155.6265,110.3365,4.999958
FILLER_27_222,VDD,Metal1,127.9600,109.7600,4.999957
FILLER_27_220,VDD,Metal1,127.1200,109.7600,4.999957
FILLER_27_212,VDD,Metal1,124.8265,110.3365,4.999957
FILLER_27_208,VDD,Metal1,120.4000,109.7600,4.999958
FILLER_27_192,VDD,Metal1,115.9680,110.4520,4.999958
FILLER_27_142,VDD,Metal1,85.6265,110.3365,4.999958
FILLER_27_104,VDD,Metal1,62.1600,109.7600,4.999964
FILLER_27_96,VDD,Metal1,57.6800,109.7600,4.999964
FILLER_27_80,VDD,Metal1,53.2480,110.4520,4.999964
FILLER_26_341,VDD,Metal1,194.8800,109.7600,4.999958
FILLER_26_333,VDD,Metal1,192.5865,109.1830,4.999958
FILLER_26_317,VDD,Metal1,185.9680,109.0680,4.999958
FILLER_26_314,VDD,Metal1,179.4800,109.7600,4.999958
FILLER_26_306,VDD,Metal1,177.4665,109.1830,4.999958
FILLER_26_290,VDD,Metal1,170.8480,109.0680,4.999958
FILLER_26_255,VDD,Metal1,146.4400,109.7600,4.999958
FILLER_26_247,VDD,Metal1,144.4265,109.1830,4.999958
FILLER_26_177,VDD,Metal1,112.1155,108.9910,4.999958
FILLER_26_174,VDD,Metal1,101.0800,109.7600,4.999958
FILLER_26_170,VDD,Metal1,100.0600,109.3275,4.999958
FILLER_26_138,VDD,Metal1,90.2755,108.9910,4.999958
FILLER_26_128,VDD,Metal1,76.5400,109.3275,4.999962
FILLER_26_120,VDD,Metal1,73.3065,109.1830,4.999962
FILLER_26_96,VDD,Metal1,57.4000,109.7600,4.999964
FILLER_26_92,VDD,Metal1,56.3800,109.3275,4.999964
FILLER_26_43,VDD,Metal1,27.7200,109.7600,4.999964
FILLER_26_41,VDD,Metal1,26.8800,109.7600,4.999964
FILLER_26_37,VDD,Metal1,25.5800,109.3275,4.999964
FILLER_26_34,VDD,Metal1,22.6800,109.7600,4.999965
FILLER_26_10,VDD,Metal1,9.5200,109.7600,4.999965
FILLER_26_2,VDD,Metal1,7.2265,109.1830,4.999965
FILLER_25_342,VDD,Metal1,195.1600,101.9200,4.999967
FILLER_25_338,VDD,Metal1,194.1400,102.3525,4.999967
FILLER_25_330,VDD,Metal1,190.9065,102.4965,4.999967
FILLER_25_314,VDD,Metal1,184.2880,102.6120,4.999967
FILLER_25_282,VDD,Metal1,170.9155,102.6885,4.999967
FILLER_25_279,VDD,Metal1,159.8800,101.9200,4.999967
FILLER_25_277,VDD,Metal1,159.0400,101.9200,4.999967
FILLER_25_261,VDD,Metal1,149.8000,101.9200,4.999967
FILLER_25_253,VDD,Metal1,147.7865,102.4965,4.999967
FILLER_25_236,VDD,Metal1,136.0800,101.9200,4.999968
FILLER_25_232,VDD,Metal1,134.7800,102.3525,4.999968
FILLER_25_216,VDD,Metal1,124.6000,101.9200,4.999967
FILLER_25_212,VDD,Metal1,123.5800,102.3525,4.999967
FILLER_25_193,VDD,Metal1,112.0000,101.9200,4.999967
FILLER_25_131,VDD,Metal1,77.0000,101.9200,4.999979
FILLER_25_123,VDD,Metal1,74.9865,102.4965,4.999979
FILLER_25_88,VDD,Metal1,52.9200,101.9200,4.999979
FILLER_25_80,VDD,Metal1,50.9065,102.4965,4.999979
FILLER_25_62,VDD,Metal1,38.6400,101.9200,4.999979
FILLER_25_50,VDD,Metal1,32.8600,102.3525,4.999979
FILLER_25_2,VDD,Metal1,5.9800,102.3525,4.999980
FILLER_24_341,VDD,Metal1,194.8800,101.9200,4.999967
FILLER_24_333,VDD,Metal1,192.5865,101.3430,4.999967
FILLER_24_317,VDD,Metal1,185.9680,101.2280,4.999967
FILLER_24_314,VDD,Metal1,179.4800,101.9200,4.999967
FILLER_24_306,VDD,Metal1,177.4665,101.3430,4.999967
FILLER_24_269,VDD,Metal1,154.2800,101.9200,4.999967
FILLER_24_267,VDD,Metal1,153.4400,101.9200,4.999967
FILLER_24_263,VDD,Metal1,152.1400,101.4875,4.999967
FILLER_24_247,VDD,Metal1,144.4265,101.3430,4.999967
FILLER_24_244,VDD,Metal1,140.2800,101.9200,4.999967
FILLER_24_242,VDD,Metal1,139.4400,101.9200,4.999967
FILLER_24_238,VDD,Metal1,138.1400,101.4875,4.999967
FILLER_24_222,VDD,Metal1,132.7680,101.2280,4.999968
FILLER_24_187,VDD,Metal1,108.3600,101.9200,4.999977
FILLER_24_185,VDD,Metal1,107.5200,101.9200,4.999977
FILLER_24_177,VDD,Metal1,105.2265,101.3430,4.999977
FILLER_24_173,VDD,Metal1,100.8000,101.9200,4.999978
FILLER_24_157,VDD,Metal1,91.5600,101.9200,4.999978
FILLER_24_153,VDD,Metal1,90.5400,101.4875,4.999978
FILLER_24_145,VDD,Metal1,87.3065,101.3430,4.999978
FILLER_24_107,VDD,Metal1,64.7800,101.4875,4.999979
FILLER_24_96,VDD,Metal1,57.4000,101.9200,4.999979
FILLER_24_94,VDD,Metal1,56.5600,101.9200,4.999979
FILLER_24_87,VDD,Metal1,52.3600,101.9200,4.999979
FILLER_24_71,VDD,Metal1,48.2080,101.2280,4.999979
FILLER_24_66,VDD,Metal1,40.6000,101.9200,4.999979
FILLER_24_64,VDD,Metal1,39.7600,101.9200,4.999979
FILLER_24_44,VDD,Metal1,33.0880,101.2280,4.999979
FILLER_24_39,VDD,Metal1,25.4800,101.9200,4.999980
FILLER_24_37,VDD,Metal1,24.6400,101.9200,4.999980
FILLER_24_33,VDD,Metal1,22.4000,101.9200,4.999980
FILLER_24_28,VDD,Metal1,19.3200,101.9200,4.999980
FILLER_24_26,VDD,Metal1,18.4800,101.9200,4.999980
FILLER_24_22,VDD,Metal1,17.1800,101.4875,4.999980
FILLER_24_14,VDD,Metal1,11.7600,101.9200,4.999980
FILLER_24_10,VDD,Metal1,10.4600,101.4875,4.999980
FILLER_24_2,VDD,Metal1,7.2265,101.3430,4.999980
FILLER_23_341,VDD,Metal1,194.8800,94.0800,4.999972
FILLER_23_337,VDD,Metal1,193.5800,94.5125,4.999972
FILLER_23_329,VDD,Metal1,190.3465,94.6565,4.999972
FILLER_23_297,VDD,Metal1,179.3155,94.8485,4.999972
FILLER_23_279,VDD,Metal1,159.8800,94.0800,4.999971
FILLER_23_277,VDD,Metal1,159.0400,94.0800,4.999971
FILLER_23_273,VDD,Metal1,157.7400,94.5125,4.999956
FILLER_23_246,VDD,Metal1,141.4000,94.0800,4.999955
FILLER_23_244,VDD,Metal1,140.5600,94.0800,4.999955
FILLER_23_240,VDD,Metal1,139.2600,94.5125,4.999955
FILLER_23_232,VDD,Metal1,136.0265,94.6565,4.999955
FILLER_23_216,VDD,Metal1,124.6000,94.0800,4.999954
FILLER_23_212,VDD,Metal1,123.5800,94.5125,4.999954
FILLER_23_209,VDD,Metal1,120.6800,94.0800,4.999954
FILLER_23_207,VDD,Metal1,119.8400,94.0800,4.999954
FILLER_23_199,VDD,Metal1,117.5465,94.6565,4.999954
FILLER_23_164,VDD,Metal1,95.4800,94.0800,4.999954
FILLER_23_160,VDD,Metal1,94.4600,94.5125,4.999954
FILLER_23_152,VDD,Metal1,91.2265,94.6565,4.999954
FILLER_23_142,VDD,Metal1,83.4400,94.0800,4.999954
FILLER_23_139,VDD,Metal1,81.4800,94.0800,4.999955
FILLER_23_137,VDD,Metal1,80.6400,94.0800,4.999955
FILLER_23_72,VDD,Metal1,44.2400,94.0800,4.999976
FILLER_23_68,VDD,Metal1,42.0000,94.0800,4.999976
FILLER_23_50,VDD,Metal1,31.6400,94.0800,4.999975
FILLER_23_48,VDD,Metal1,30.8000,94.0800,4.999975
FILLER_23_44,VDD,Metal1,29.5000,94.5125,4.999975
FILLER_22_341,VDD,Metal1,194.8800,94.0800,4.999972
FILLER_22_333,VDD,Metal1,192.5865,93.5030,4.999972
FILLER_22_317,VDD,Metal1,185.9680,93.3880,4.999972
FILLER_22_313,VDD,Metal1,179.2000,94.0800,4.999972
FILLER_22_281,VDD,Metal1,170.3555,93.3110,4.999972
FILLER_22_243,VDD,Metal1,140.0000,94.0800,4.999955
FILLER_22_227,VDD,Metal1,135.5680,93.3880,4.999955
FILLER_22_192,VDD,Metal1,111.1600,94.0800,4.999954
FILLER_22_137,VDD,Metal1,80.6400,94.0800,4.999955
FILLER_22_121,VDD,Metal1,76.2080,93.3880,4.999976
FILLER_22_91,VDD,Metal1,54.8800,94.0800,4.999977
FILLER_22_87,VDD,Metal1,53.5800,93.6475,4.999977
FILLER_22_71,VDD,Metal1,48.2080,93.3880,4.999977
FILLER_22_51,VDD,Metal1,32.4800,94.0800,4.999975
FILLER_22_34,VDD,Metal1,22.6800,94.0800,4.999975
FILLER_22_2,VDD,Metal1,9.5680,93.3880,4.999971
FILLER_21_342,VDD,Metal1,195.1600,86.2400,4.999952
FILLER_21_338,VDD,Metal1,194.1400,86.6725,4.999952
FILLER_21_330,VDD,Metal1,190.9065,86.8165,4.999952
FILLER_21_314,VDD,Metal1,184.2880,86.9320,4.999952
FILLER_21_282,VDD,Metal1,170.9155,87.0085,4.999952
FILLER_21_279,VDD,Metal1,159.8800,86.2400,4.999951
FILLER_21_277,VDD,Metal1,159.0400,86.2400,4.999951
FILLER_21_255,VDD,Metal1,146.7200,86.2400,4.999951
FILLER_21_247,VDD,Metal1,144.4265,86.8165,4.999951
FILLER_21_212,VDD,Metal1,122.3600,86.2400,4.999950
FILLER_21_195,VDD,Metal1,112.8400,86.2400,4.999950
FILLER_21_193,VDD,Metal1,112.0000,86.2400,4.999950
FILLER_21_142,VDD,Metal1,83.1600,86.2400,4.999959
FILLER_21_139,VDD,Metal1,81.4800,86.2400,4.999959
FILLER_21_135,VDD,Metal1,80.4600,86.6725,4.999959
FILLER_21_127,VDD,Metal1,77.2265,86.8165,4.999959
FILLER_21_104,VDD,Metal1,61.8800,86.2400,4.999975
FILLER_21_100,VDD,Metal1,60.8600,86.6725,4.999975
FILLER_21_92,VDD,Metal1,57.6265,86.8165,4.999975
