Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_342,VSS,Metal1,195.1600,129.3600,0.000013
FILLER_32_308,VSS,Metal1,184.1240,129.9575,0.000013
FILLER_32_274,VSS,Metal1,165.0840,129.9575,0.000013
FILLER_32_240,VSS,Metal1,146.0440,129.9575,0.000017
FILLER_32_206,VSS,Metal1,127.0040,129.9575,0.000017
FILLER_32_203,VSS,Metal1,117.3200,129.3600,0.000017
FILLER_32_201,VSS,Metal1,116.4800,129.3600,0.000017
FILLER_32_197,VSS,Metal1,114.4200,129.7085,0.000017
FILLER_32_168,VSS,Metal1,98.0000,129.3600,0.000018
FILLER_32_150,VSS,Metal1,87.6400,129.3600,0.000018
FILLER_32_148,VSS,Metal1,86.8000,129.3600,0.000018
FILLER_32_138,VSS,Metal1,81.3800,129.7085,0.000017
FILLER_32_104,VSS,Metal1,69.8840,129.9575,0.000016
FILLER_32_101,VSS,Metal1,60.2000,129.3600,0.000016
FILLER_32_97,VSS,Metal1,58.4200,129.7085,0.000016
FILLER_32_89,VSS,Metal1,54.9330,129.8215,0.000016
FILLER_32_84,VSS,Metal1,50.6800,129.3600,0.000016
FILLER_32_78,VSS,Metal1,47.6000,129.3600,0.000015
FILLER_32_70,VSS,Metal1,44.2930,129.8215,0.000015
FILLER_32_36,VSS,Metal1,31.8040,129.9575,0.000014
FILLER_32_2,VSS,Metal1,12.7640,129.9575,0.000014
FILLER_31_342,VSS,Metal1,195.1600,129.3600,0.000013
FILLER_31_338,VSS,Metal1,193.3800,129.0110,0.000013
FILLER_31_330,VSS,Metal1,189.8930,128.8980,0.000013
FILLER_31_314,VSS,Metal1,183.0720,128.8120,0.000013
FILLER_31_282,VSS,Metal1,169.5640,128.7620,0.000013
FILLER_31_276,VSS,Metal1,158.6600,129.0110,0.000013
FILLER_31_212,VSS,Metal1,139.2845,128.7220,0.000017
FILLER_31_138,VSS,Metal1,81.2000,129.3600,0.000017
FILLER_31_131,VSS,Metal1,77.0000,129.3600,0.000016
FILLER_31_129,VSS,Metal1,76.1600,129.3600,0.000016
FILLER_31_113,VSS,Metal1,70.5120,128.8120,0.000016
FILLER_31_74,VSS,Metal1,45.0800,129.3600,0.000015
FILLER_31_72,VSS,Metal1,44.2400,129.3600,0.000015
FILLER_31_66,VSS,Metal1,41.0600,129.0110,0.000014
FILLER_31_2,VSS,Metal1,21.6845,128.7220,0.000014
FILLER_30_341,VSS,Metal1,194.8800,121.5200,0.000112
FILLER_30_333,VSS,Metal1,191.5730,121.9815,0.000112
FILLER_30_317,VSS,Metal1,184.7520,122.0680,0.000112
FILLER_30_311,VSS,Metal1,178.2600,121.8685,0.000112
FILLER_30_247,VSS,Metal1,158.8845,122.1575,0.000114
FILLER_30_243,VSS,Metal1,140.0000,121.5200,0.000113
FILLER_30_211,VSS,Metal1,129.8040,122.1175,0.000125
FILLER_30_185,VSS,Metal1,107.2400,121.5200,0.000129
FILLER_30_117,VSS,Metal1,70.6130,121.9815,0.000129
FILLER_30_107,VSS,Metal1,63.8400,121.5200,0.000129
FILLER_30_69,VSS,Metal1,42.5600,121.5200,0.000117
FILLER_30_37,VSS,Metal1,32.3640,122.1175,0.000115
FILLER_30_34,VSS,Metal1,22.6800,121.5200,0.000115
FILLER_30_2,VSS,Metal1,12.7640,122.1175,0.000115
FILLER_29_342,VSS,Metal1,195.1600,121.5200,0.000112
FILLER_29_338,VSS,Metal1,193.3800,121.1710,0.000112
FILLER_29_330,VSS,Metal1,189.8930,121.0580,0.000112
FILLER_29_314,VSS,Metal1,183.0720,120.9720,0.000112
FILLER_29_282,VSS,Metal1,169.5640,120.9220,0.000113
FILLER_29_278,VSS,Metal1,159.6000,121.5200,0.000114
FILLER_29_274,VSS,Metal1,157.5400,121.1710,0.000114
FILLER_29_242,VSS,Metal1,147.1640,120.9220,0.000114
FILLER_29_228,VSS,Metal1,132.7730,121.0580,0.000125
FILLER_29_212,VSS,Metal1,125.9520,120.9720,0.000125
FILLER_29_88,VSS,Metal1,53.2000,121.5200,0.000129
FILLER_29_72,VSS,Metal1,47.5520,120.9720,0.000128
FILLER_29_66,VSS,Metal1,41.0600,121.1710,0.000117
FILLER_29_2,VSS,Metal1,21.6845,120.8820,0.000115
FILLER_28_341,VSS,Metal1,194.8800,113.6800,0.000038
FILLER_28_333,VSS,Metal1,191.5730,114.1415,0.000038
FILLER_28_317,VSS,Metal1,184.7520,114.2280,0.000038
FILLER_28_311,VSS,Metal1,178.2600,114.0285,0.000038
FILLER_28_247,VSS,Metal1,158.8845,114.3175,0.000039
FILLER_28_244,VSS,Metal1,140.2800,113.6800,0.000039
FILLER_28_240,VSS,Metal1,138.5000,114.0285,0.000037
FILLER_28_224,VSS,Metal1,130.5330,114.1415,0.000041
FILLER_28_189,VSS,Metal1,109.4800,113.6800,0.000047
FILLER_28_115,VSS,Metal1,68.3200,113.6800,0.000052
FILLER_28_107,VSS,Metal1,65.0130,114.1415,0.000052
FILLER_28_70,VSS,Metal1,42.8400,113.6800,0.000049
FILLER_28_68,VSS,Metal1,42.0000,113.6800,0.000049
FILLER_28_59,VSS,Metal1,36.6800,113.6800,0.000048
FILLER_28_57,VSS,Metal1,35.8400,113.6800,0.000048
FILLER_28_53,VSS,Metal1,33.7800,114.0285,0.000048
FILLER_28_37,VSS,Metal1,27.9520,114.2280,0.000048
FILLER_28_34,VSS,Metal1,22.6800,113.6800,0.000047
FILLER_28_2,VSS,Metal1,12.7640,114.2775,0.000048
FILLER_27_342,VSS,Metal1,195.1600,113.6800,0.000038
FILLER_27_338,VSS,Metal1,193.3800,113.3310,0.000038
FILLER_27_330,VSS,Metal1,189.8930,113.2180,0.000038
FILLER_27_314,VSS,Metal1,183.0720,113.1320,0.000038
FILLER_27_282,VSS,Metal1,169.5640,113.0820,0.000039
FILLER_27_279,VSS,Metal1,159.8800,113.6800,0.000039
FILLER_27_275,VSS,Metal1,158.1000,113.3310,0.000039
FILLER_27_267,VSS,Metal1,154.6130,113.2180,0.000039
FILLER_27_222,VSS,Metal1,127.9600,113.6800,0.000044
FILLER_27_220,VSS,Metal1,127.1200,113.6800,0.000044
FILLER_27_212,VSS,Metal1,123.8130,113.2180,0.000044
FILLER_27_208,VSS,Metal1,120.4000,113.6800,0.000044
FILLER_27_192,VSS,Metal1,114.7520,113.1320,0.000044
FILLER_27_142,VSS,Metal1,84.6130,113.2180,0.000052
FILLER_27_104,VSS,Metal1,62.1600,113.6800,0.000049
FILLER_27_96,VSS,Metal1,57.6800,113.6800,0.000050
FILLER_27_80,VSS,Metal1,52.0320,113.1320,0.000050
FILLER_26_341,VSS,Metal1,194.8800,105.8400,0.000028
FILLER_26_333,VSS,Metal1,191.5730,106.3015,0.000028
FILLER_26_317,VSS,Metal1,184.7520,106.3880,0.000028
FILLER_26_314,VSS,Metal1,179.4800,105.8400,0.000028
FILLER_26_306,VSS,Metal1,176.4530,106.3015,0.000028
FILLER_26_290,VSS,Metal1,169.6320,106.3880,0.000028
FILLER_26_255,VSS,Metal1,146.4400,105.8400,0.000028
FILLER_26_247,VSS,Metal1,143.4130,106.3015,0.000028
FILLER_26_177,VSS,Metal1,110.7640,106.4375,0.000027
FILLER_26_174,VSS,Metal1,101.0800,105.8400,0.000026
FILLER_26_170,VSS,Metal1,99.3000,106.1885,0.000026
FILLER_26_138,VSS,Metal1,88.9240,106.4375,0.000026
FILLER_26_128,VSS,Metal1,75.7800,106.1885,0.000024
FILLER_26_120,VSS,Metal1,72.2930,106.3015,0.000024
FILLER_26_96,VSS,Metal1,57.4000,105.8400,0.000018
FILLER_26_92,VSS,Metal1,55.6200,106.1885,0.000018
FILLER_26_43,VSS,Metal1,27.7200,105.8400,0.000018
FILLER_26_41,VSS,Metal1,26.8800,105.8400,0.000018
FILLER_26_37,VSS,Metal1,24.8200,106.1885,0.000018
FILLER_26_34,VSS,Metal1,22.6800,105.8400,0.000017
FILLER_26_10,VSS,Metal1,9.5200,105.8400,0.000018
FILLER_26_2,VSS,Metal1,6.2130,106.3015,0.000018
FILLER_25_342,VSS,Metal1,195.1600,105.8400,0.000028
FILLER_25_338,VSS,Metal1,193.3800,105.4910,0.000028
FILLER_25_330,VSS,Metal1,189.8930,105.3780,0.000028
FILLER_25_314,VSS,Metal1,183.0720,105.2920,0.000028
FILLER_25_282,VSS,Metal1,169.5640,105.2420,0.000028
FILLER_25_279,VSS,Metal1,159.8800,105.8400,0.000028
FILLER_25_277,VSS,Metal1,159.0400,105.8400,0.000028
FILLER_25_261,VSS,Metal1,149.8000,105.8400,0.000028
FILLER_25_253,VSS,Metal1,146.7730,105.3780,0.000028
FILLER_25_236,VSS,Metal1,136.0800,105.8400,0.000028
FILLER_25_232,VSS,Metal1,134.0200,105.4910,0.000028
FILLER_25_216,VSS,Metal1,124.6000,105.8400,0.000028
FILLER_25_212,VSS,Metal1,122.8200,105.4910,0.000028
FILLER_25_193,VSS,Metal1,112.0000,105.8400,0.000027
FILLER_25_131,VSS,Metal1,77.0000,105.8400,0.000024
FILLER_25_123,VSS,Metal1,73.9730,105.3780,0.000024
FILLER_25_88,VSS,Metal1,52.9200,105.8400,0.000018
FILLER_25_80,VSS,Metal1,49.8930,105.3780,0.000018
FILLER_25_62,VSS,Metal1,38.6400,105.8400,0.000018
FILLER_25_50,VSS,Metal1,32.1000,105.4910,0.000018
