net,length_um
net16,164.89µm
net12,158.32µm
net13,155.83µm
net15,154.91µm
net2,140.05µm
net14,120.88µm
_098_,118µm
_083_,95.86µm
clk_scaled,84.05µm
clknet_1_0__leaf_clk,79.06µm
clknet_1_1__leaf_clk,71.93µm
_075_,69.69µm
net5,64.4µm
signal_gen.tonegenA.counter\[3\],62.97µm
signal_gen.tonegenA.counter\[0\],61.14µm
signal_gen.tonegenA.counter\[2\],54.47µm
clk_scaler.counter\[1\],53.96µm
signal_gen.tonegenA.counter\[1\],52.28µm
signal_gen.periodA\[4\],46.53µm
_108_,44.85µm
net1,43.73µm
clk_scaler.counter\[2\],43.27µm
clk,41.86µm
_106_,40.37µm
signal_gen.tonegenA.counter\[5\],39.3µm
clk_scaler.counter\[0\],38.69µm
_072_,38.13µm
net7,38.13µm
clknet_0_clk,37.01µm
signal_gen.tonegenA.counter\[6\],35.38µm
signal_gen.tonegenA.counter\[4\],33.75µm
_085_,32.63µm
_064_,31.92µm
clk_scaler.counter\[3\],31.46µm
net4,31.36µm
_107_,30.9µm
_080_,30.39µm
_110_,28.66µm
_069_,28.05µm
_055_,27.49µm
_082_,26.93µm
net6,26.88µm
_078_,23.62µm
_073_,23.57µm
_109_,23.06µm
signal_gen.periodA\[3\],23.01µm
signal_bit,22.4µm
_050_,21.99µm
signal_gen.tonegenA.counter\[11\],21.89µm
clk_scaler.counter\[8\],21.84µm
_105_,20.87µm
clk_scaler.counter\[4\],20.82µm
_111_,20.77µm
_057_,20.72µm
_012_,19.14µm
clk_scaler.counter\[11\],19.14µm
_042_,19.09µm
signal_gen.tonegenA.counter\[9\],19.09µm
_061_,18.58µm
_062_,18.58µm
clk_scaler.counter\[9\],18.53µm
signal_gen.enableA,17.46µm
net9,16.9µm
_076_,16.85µm
signal_gen.periodA\[1\],16.85µm
_097_,16.8µm
_104_,16.39µm
_060_,16.29µm
_070_,16.29µm
_087_,15.78µm
_037_,15.17µm
_065_,14.66µm
_096_,14.61µm
clk_scaler.counter\[5\],14.61µm
_054_,14.56µm
_091_,14.15µm
_081_,14.1µm
_058_,14.05µm
net37,14.05µm
_003_,14µm
net20,13.91µm
net10,13.49µm
_024_,13.44µm
_056_,13.44µm
_112_,12.98µm
_040_,12.93µm
net8,12.88µm
_049_,12.42µm
_045_,12.37µm
_095_,12.37µm
_071_,12.32µm
net25,12.18µm
_051_,11.81µm
_089_,11.76µm
signal_gen.periodA\[2\],11.76µm
_039_,11.25µm
net17,11.11µm
_048_,10.69µm
net11,9.62µm
_036_,9.52µm
_090_,9.52µm
signal_gen.tonegenA.counter\[7\],9.52µm
_005_,9.06µm
_020_,9.01µm
net42,8.96µm
_016_,8.96µm
clk_scaler.counter\[10\],8.96µm
uo_out[0],8.82µm
_046_,8.5µm
_067_,8.45µm
_079_,8.45µm
_092_,8.45µm
ui_in[7],8.31µm
ui_in[3],8.26µm
net24,8.26µm
net46,7.89µm
_021_,7.89µm
_084_,7.84µm
net48,7.7µm
net18,7.7µm
net21,7.7µm
net22,7.7µm
net30,7.7µm
net32,7.7µm
net35,7.7µm
net36,7.7µm
_077_,7.38µm
_086_,7.28µm
signal_gen.tonegenA.counter\[10\],7.28µm
ui_in[4],7.14µm
ui_in[6],7.14µm
net27,7.14µm
net31,7.14µm
signal_gen.periodA\[0\],6.82µm
_019_,6.77µm
_074_,6.77µm
_029_,6.72µm
_100_,6.72µm
uio_in[0],6.63µm
ui_in[0],6.58µm
net44,6.21µm
_026_,6.21µm
net38,6.16µm
_015_,6.16µm
_031_,6.16µm
clk_scaler.counter\[7\],6.16µm
net47,6.02µm
ui_in[5],6.02µm
net49,6.02µm
_044_,5.7µm
_052_,5.65µm
clk_scaler.counter\[6\],5.65µm
net43,5.6µm
net41,5.6µm
ena,5.46µm
_000_,5.09µm
net45,5.04µm
net39,5.04µm
_034_,5.04µm
_041_,5.04µm
rst_n,4.9µm
uio_in[2],4.9µm
net29,4.9µm
net33,4.9µm
net34,4.9µm
_006_,4.48µm
_017_,4.48µm
_028_,4.48µm
_032_,4.48µm
_047_,4.48µm
uio_in[1],4.34µm
net23,4.34µm
net26,4.34µm
net28,4.34µm
_027_,4.02µm
_030_,3.92µm
net19,3.83µm
net40,3.36µm
_038_,3.36µm
_053_,3.36µm
_063_,3.36µm
_066_,3.36µm
_068_,3.36µm
_088_,3.36µm
_093_,3.36µm
net3,3.36µm
_004_,2.8µm
_007_,2.8µm
_018_,2.8µm
_043_,2.8µm
_059_,2.8µm
_099_,2.8µm
_103_,2.8µm
_035_,2.24µm
_025_,1.68µm
_033_,1.68µm
_094_,1.68µm
_101_,1.68µm
_102_,1.12µm
signal_gen.tonegenA.counter\[8\],1.12µm
