net,length_um
net21,155.73µm
_008_,143.56µm
net22,139.89µm
net20,132.92µm
net13,129.56µm
net11,126.76µm
net14,118.21µm
net19,112.15µm
net18,108.64µm
net16,107.67µm
net17,106.55µm
clk_scaled,104.21µm
_072_,89.09µm
net9,88.58µm
net12,86.95µm
clk_scaler.counter\[0\],79.11µm
net15,77.38µm
clk_scaler.counter\[1\],72.34µm
signal_gen.mix.started,68.72µm
clk_scaler.counter\[2\],66.13µm
clknet_1_1__leaf_clk,59.51µm
clknet_1_0__leaf_clk,55.64µm
_069_,55.44µm
signal_gen.pwmGen.clk_cnt\[4\],52.69µm
_004_,48.72µm
signal_gen.pwmGen.clk_cnt\[0\],48.31µm
signal_gen.volN\[1\],48.21µm
signal_gen.pwmGen.clk_cnt\[5\],47.09µm
signal_gen.mix.noise,46.53µm
clk_scaler.counter\[4\],44.34µm
_070_,43.73µm
clk_scaler.counter\[3\],43.22µm
signal_gen.noise_gen.noise_reg\[4\],42.66µm
_062_,42.05µm
_066_,42.05µm
_056_,41.59µm
signal_gen.noise_gen.noise_reg\[12\],41.49µm
signal_gen.volN\[0\],40.93µm
_068_,40.88µm
net8,39.25µm
_084_,37.67µm
signal_gen.volN\[2\],35.38µm
net3,35.38µm
signal_gen.enableN,34.21µm
signal_gen.volN\[3\],33.7µm
signal_gen.noise_gen.noise_reg\[13\],33.19µm
signal_gen.noise_gen.noise_reg\[11\],30.9µm
signal_gen.mix.mixout\[6\],30.34µm
net2,29.73µm
_079_,29.17µm
rst_n,28.42µm
net1,28.05µm
_093_,27.69µm
signal_gen.pwmGen.clk_cnt\[1\],25.86µm
_081_,25.25µm
_091_,25.25µm
_089_,24.64µm
net10,24.13µm
net24,23.57µm
_078_,23.06µm
signal_gen.pwmGen.clk_cnt\[3\],22.45µm
_076_,22.4µm
_090_,21.94µm
_083_,21.89µm
_087_,21.84µm
clk,21.7µm
_102_,21.38µm
_071_,21.33µm
_088_,21.33µm
_077_,20.21µm
_063_,20.16µm
_107_,20.16µm
_064_,19.65µm
_095_,19.65µm
_050_,19.6µm
_060_,19.14µm
clknet_0_clk,19.09µm
signal_gen.noise_gen.noise_reg\[5\],18.58µm
_098_,18.53µm
_074_,18.07µm
_020_,18.02µm
signal_gen.mix.n_val\[1\],18.02µm
signal_gen.mix.n_val\[4\],18.02µm
_031_,17.41µm
_054_,17.41µm
signal_gen.pwmGen.clk_cnt\[2\],17.41µm
signal_gen.pwmGen.clk_cnt\[7\],17.41µm
_002_,17.36µm
_023_,16.9µm
signal_gen.mix.mixout\[5\],16.85µm
signal_gen.noise_gen.noise_reg\[6\],16.85µm
_099_,16.8µm
signal_gen.mix.sum\[3\],16.29µm
net4,16.24µm
signal_gen.noise_gen.feedback,15.78µm
signal_gen.noise_gen.noise_reg\[7\],15.78µm
_082_,15.73µm
_105_,15.73µm
signal_gen.mix.sum\[4\],15.73µm
_051_,15.68µm
_033_,15.17µm
_106_,15.12µm
signal_gen.noise_gen.noise_reg\[2\],14.71µm
_048_,14.61µm
clk_scaler.counter\[6\],14.61µm
signal_gen.mix.mixout\[4\],14.61µm
net5,14.61µm
_075_,14.56µm
_030_,14.05µm
_101_,14.05µm
_026_,14µm
_000_,13.54µm
_034_,12.98µm
_110_,12.88µm
signal_gen.noise_gen.noise_reg\[10\],12.42µm
signal_gen.noise_gen.noise_reg\[9\],12.42µm
signal_gen.pwmGen.clk_cnt\[6\],12.42µm
_017_,12.37µm
_032_,12.37µm
_042_,12.37µm
signal_gen.noise_gen.noise_reg\[8\],12.32µm
net25,11.76µm
_009_,11.76µm
net23,11.76µm
_044_,11.25µm
signal_gen.noise_gen.noise_reg\[0\],11.25µm
_001_,11.2µm
signal_gen.mix.sum\[2\],11.2µm
_096_,10.74µm
_011_,10.69µm
_021_,10.69µm
_047_,10.64µm
signal_gen.mix.n_val\[2\],10.64µm
_059_,10.13µm
_097_,10.08µm
ena,9.99µm
data_in[2],9.94µm
signal_gen.mix.n_val\[3\],9.62µm
_013_,9.57µm
_065_,9.57µm
signal_gen.noise_gen.noise_reg\[3\],9.57µm
net7,9.57µm
_057_,9.01µm
net6,9.01µm
_036_,8.96µm
_058_,8.96µm
_108_,8.45µm
clk_scaler.counter\[5\],8.4µm
_019_,7.94µm
_038_,7.89µm
_040_,7.89µm
_052_,7.89µm
_053_,7.89µm
_016_,7.84µm
_022_,7.84µm
_028_,7.84µm
_035_,7.84µm
signal_bit_out,7.75µm
_039_,7.38µm
_067_,7.28µm
signal_gen.mix.sum\[1\],7.28µm
address_in[0],7.19µm
address_in[1],7.14µm
signal_gen.mix.mixout\[3\],6.82µm
_003_,6.77µm
_029_,6.77µm
_014_,6.26µm
_041_,6.26µm
_100_,6.26µm
_073_,6.16µm
_024_,5.65µm
_046_,5.65µm
_027_,5.6µm
data_in[0],5.46µm
data_in[1],5.46µm
write_strobe_in,5.46µm
_043_,5.04µm
address_in[2],4.9µm
_109_,4.58µm
_015_,4.48µm
_018_,3.92µm
_045_,3.92µm
_055_,3.92µm
_092_,3.92µm
_103_,3.92µm
_104_,3.92µm
data_in[3],3.83µm
clk_scaler.counter\[7\],2.9µm
_010_,2.8µm
_025_,2.8µm
_037_,2.8µm
_049_,2.8µm
_061_,2.8µm
_086_,2.34µm
_094_,2.34µm
_080_,2.24µm
_012_,1.68µm
_085_,1.68µm
