net,length_um
_075_,168.1µm
net16,157.15µm
net13,142.49µm
net14,140.71µm
net12,127.98µm
net17,124.93µm
_048_,113.93µm
net15,99.32µm
clk_scaled,95.81µm
clknet_1_0__leaf_clk,86.95µm
_064_,69.08µm
clknet_1_1__leaf_clk,63.94µm
signal_gen.periodA\[3\],57.17µm
clk_scaler.counter\[0\],53.25µm
clk,46.9µm
clk_scaler.counter\[2\],44.39µm
signal_gen.periodA\[2\],44.29µm
clk_scaler.counter\[4\],42.66µm
signal_gen.periodA\[1\],42.15µm
signal_gen.tonegenA.counter\[4\],41.59µm
clk_scaler.counter\[1\],40.98µm
signal_gen.tonegenA.counter\[5\],37.67µm
_080_,37.62µm
clk_scaler.counter\[3\],37.01µm
signal_gen.periodA\[0\],35.33µm
_086_,35.28µm
signal_gen.tonegenA.counter\[0\],34.26µm
net1,32.02µm
_066_,31.97µm
_050_,30.85µm
_052_,29.83µm
signal_gen.tonegenA.counter\[3\],29.83µm
signal_gen.tonegenA.counter\[1\],29.73µm
_060_,28.61µm
_049_,26.98µm
_058_,26.88µm
net5,26.88µm
signal_gen.tonegenA.counter\[6\],24.79µm
_088_,24.64µm
_062_,24.18µm
_081_,24.18µm
net4,23.52µm
signal_gen.tonegenA.counter\[2\],23.11µm
_078_,22.5µm
_000_,21.33µm
net6,21.28µm
signal_bit,20.26µm
_016_,20.21µm
_057_,20.21µm
_071_,19.65µm
_006_,19.04µm
_068_,18.58µm
clk_scaler.counter\[5\],18.48µm
_079_,17µm
net41,16.85µm
_015_,16.85µm
net7,16.85µm
_054_,16.29µm
_046_,15.12µm
_082_,14.66µm
signal_gen.tonegenA.counter\[11\],14.61µm
clknet_0_clk,12.98µm
_047_,12.93µm
signal_gen.tonegenA.counter\[9\],12.88µm
clk_scaler.counter\[11\],12.32µm
ui_in[4],11.11µm
clk_scaler.counter\[8\],10.69µm
signal_gen.tonegenA.counter\[10\],10.69µm
net10,10.69µm
_087_,10.64µm
signal_gen.tonegenA.counter\[8\],10.13µm
net9,10.13µm
clk_scaler.counter\[10\],10.08µm
_019_,9.57µm
_020_,9.57µm
_038_,9.57µm
_061_,9.52µm
_072_,9.52µm
net22,9.38µm
net47,8.96µm
net27,8.82µm
_067_,8.5µm
_055_,8.45µm
uio_in[1],8.31µm
net28,8.26µm
_070_,7.94µm
_083_,7.89µm
ui_in[0],7.7µm
net21,7.7µm
net25,7.7µm
net26,7.7µm
net31,7.7µm
net33,7.7µm
net37,7.7µm
net46,7.33µm
clk_scaler.counter\[9\],7.33µm
net45,7.28µm
_040_,7.28µm
_041_,7.28µm
uio_in[0],7.14µm
uio_in[2],7.14µm
net32,7.14µm
_069_,6.77µm
net11,6.72µm
ui_in[5],6.63µm
ui_in[6],6.58µm
net49,6.58µm
_005_,6.21µm
signal_gen.periodA\[4\],6.21µm
_024_,6.16µm
_042_,6.16µm
net38,6.16µm
net48,6.02µm
net44,5.6µm
_017_,5.6µm
_026_,5.6µm
_037_,5.6µm
ui_in[7],5.46µm
net50,5.46µm
signal_gen.tonegenA.counter\[7\],5.19µm
_034_,5.14µm
_051_,5.14µm
_003_,5.09µm
_044_,5.09µm
net39,5.04µm
_012_,5.04µm
_035_,5.04µm
_084_,5.04µm
ena,4.9µm
ui_in[3],4.9µm
net23,4.9µm
net29,4.9µm
uo_out[0],4.9µm
_085_,4.58µm
net8,4.58µm
_007_,4.48µm
_021_,4.48µm
_025_,4.48µm
_077_,4.48µm
rst_n,4.34µm
net19,4.34µm
net20,4.34µm
net30,4.34µm
net34,4.34µm
net36,4.34µm
net18,4.34µm
_056_,4.02µm
_004_,3.92µm
_073_,3.92µm
clk_scaler.counter\[7\],3.92µm
net24,3.83µm
net35,3.83µm
net40,3.36µm
net43,3.36µm
net42,3.36µm
_018_,3.36µm
_036_,3.36µm
_039_,3.36µm
_059_,3.36µm
_063_,3.36µm
_074_,3.36µm
_043_,2.8µm
_076_,2.8µm
net3,2.8µm
_029_,2.24µm
_045_,2.24µm
_053_,2.24µm
_027_,1.68µm
_028_,1.68µm
_030_,1.68µm
_031_,1.68µm
_032_,1.68µm
_033_,1.68µm
_065_,1.68µm
clk_scaler.counter\[6\],1.68µm
net2,1.68µm
