net,length_um
net1,135µm
_10_,110.74µm
clk,59.58µm
clknet_1_0__leaf_clk,51.4µm
uo_out[0],41.32µm
clknet_0_clk,33.3µm
uo_out[1],31.73µm
clknet_1_1__leaf_clk,30.08µm
uo_out[4],29.635µm
uo_out[2],25.945µm
uo_out[6],22.43µm
uo_out[5],20.08µm
_15_,17.84µm
_13_,16.02µm
uo_out[7],15.38µm
uo_out[3],12.1µm
_18_,11.56µm
_08_,11.48µm
_09_,10.64µm
_04_,10.125µm
_07_,9.06µm
_17_,8.92µm
net19,8.34µm
net12,7.86µm
_01_,7.715µm
_11_,7.24µm
_02_,5.7µm
_05_,5.34µm
net3,5.24µm
_12_,5µm
net11,4.83µm
net4,4.64µm
net5,4.64µm
net8,4.64µm
net14,4.64µm
net15,4.64µm
net16,4.64µm
net2,4.64µm
net13,4.44µm
_00_,3.965µm
_16_,3.88µm
rst_n,3.64µm
_06_,3.57µm
net20,3.54µm
_03_,3.345µm
_14_,3.22µm
net6,2.6µm
net7,2.6µm
net9,2.6µm
net10,2.6µm
net17,2.6µm
net18,1.38µm
