Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_342,VSS,Metal1,195.1600,129.3600,0.000010
FILLER_32_308,VSS,Metal1,184.1240,129.9575,0.000010
FILLER_32_274,VSS,Metal1,165.0840,129.9575,0.000009
FILLER_32_240,VSS,Metal1,146.0440,129.9575,0.000004
FILLER_32_206,VSS,Metal1,127.0040,129.9575,0.000004
FILLER_32_172,VSS,Metal1,107.9640,129.9575,0.000004
FILLER_32_138,VSS,Metal1,88.9240,129.9575,0.000004
FILLER_32_104,VSS,Metal1,69.8840,129.9575,0.000003
FILLER_32_70,VSS,Metal1,50.8440,129.9575,0.000003
FILLER_32_36,VSS,Metal1,31.8040,129.9575,0.000003
FILLER_32_2,VSS,Metal1,12.7640,129.9575,0.000003
FILLER_31_341,VSS,Metal1,194.8800,129.3600,0.000010
FILLER_31_306,VSS,Metal1,175.0000,129.3600,0.000009
FILLER_31_298,VSS,Metal1,171.9730,128.8980,0.000009
FILLER_31_282,VSS,Metal1,165.1520,128.8120,0.000009
FILLER_31_276,VSS,Metal1,158.6600,129.0110,0.000009
FILLER_31_212,VSS,Metal1,139.2845,128.7220,0.000004
FILLER_31_206,VSS,Metal1,119.4600,129.0110,0.000004
FILLER_31_142,VSS,Metal1,100.0845,128.7220,0.000004
FILLER_31_136,VSS,Metal1,80.2600,129.0110,0.000004
FILLER_31_72,VSS,Metal1,60.8845,128.7220,0.000003
FILLER_31_66,VSS,Metal1,41.0600,129.0110,0.000003
FILLER_31_2,VSS,Metal1,21.6845,128.7220,0.000003
FILLER_30_341,VSS,Metal1,194.8800,121.5200,0.000018
FILLER_30_333,VSS,Metal1,191.5730,121.9815,0.000018
FILLER_30_317,VSS,Metal1,184.7520,122.0680,0.000018
FILLER_30_314,VSS,Metal1,179.4800,121.5200,0.000018
FILLER_30_312,VSS,Metal1,178.6400,121.5200,0.000018
FILLER_30_304,VSS,Metal1,175.3330,121.9815,0.000018
FILLER_30_299,VSS,Metal1,171.0800,121.5200,0.000018
FILLER_30_295,VSS,Metal1,169.3000,121.8685,0.000018
FILLER_30_279,VSS,Metal1,163.4720,122.0680,0.000018
FILLER_30_247,VSS,Metal1,149.9640,122.1175,0.000017
FILLER_30_241,VSS,Metal1,139.0600,121.8685,0.000017
FILLER_30_177,VSS,Metal1,119.6845,122.1575,0.000017
FILLER_30_171,VSS,Metal1,99.8600,121.8685,0.000016
FILLER_30_107,VSS,Metal1,80.4845,122.1575,0.000017
FILLER_30_101,VSS,Metal1,60.6600,121.8685,0.000017
FILLER_30_37,VSS,Metal1,41.2845,122.1575,0.000017
FILLER_30_34,VSS,Metal1,22.6800,121.5200,0.000018
FILLER_30_2,VSS,Metal1,12.7640,122.1175,0.000018
FILLER_29_342,VSS,Metal1,195.1600,121.5200,0.000018
FILLER_29_340,VSS,Metal1,194.3200,121.5200,0.000018
FILLER_29_336,VSS,Metal1,192.2600,121.1710,0.000018
FILLER_29_328,VSS,Metal1,188.7730,121.0580,0.000018
FILLER_29_282,VSS,Metal1,163.0130,121.0580,0.000018
FILLER_29_278,VSS,Metal1,159.6000,121.5200,0.000017
FILLER_29_274,VSS,Metal1,157.5400,121.1710,0.000017
FILLER_29_266,VSS,Metal1,154.0530,121.0580,0.000017
FILLER_29_250,VSS,Metal1,147.2320,120.9720,0.000017
FILLER_29_234,VSS,Metal1,134.6800,121.5200,0.000017
FILLER_29_232,VSS,Metal1,133.8400,121.5200,0.000017
FILLER_29_228,VSS,Metal1,131.7800,121.1710,0.000017
FILLER_29_212,VSS,Metal1,125.9520,120.9720,0.000017
FILLER_29_209,VSS,Metal1,120.6800,121.5200,0.000017
FILLER_29_201,VSS,Metal1,117.6530,121.0580,0.000017
FILLER_29_185,VSS,Metal1,110.8320,120.9720,0.000017
FILLER_29_150,VSS,Metal1,87.6400,121.5200,0.000017
FILLER_29_142,VSS,Metal1,84.6130,121.0580,0.000017
FILLER_29_136,VSS,Metal1,80.2600,121.1710,0.000017
FILLER_29_72,VSS,Metal1,60.8845,120.8820,0.000017
FILLER_29_68,VSS,Metal1,42.0000,121.5200,0.000017
FILLER_29_36,VSS,Metal1,31.8040,120.9220,0.000017
FILLER_28_341,VSS,Metal1,194.8800,113.6800,0.000044
FILLER_28_333,VSS,Metal1,191.5730,114.1415,0.000044
FILLER_28_321,VSS,Metal1,183.8600,114.0285,0.000044
FILLER_28_279,VSS,Metal1,160.1600,113.6800,0.000041
FILLER_28_263,VSS,Metal1,154.5120,114.2280,0.000041
FILLER_28_247,VSS,Metal1,141.9600,113.6800,0.000041
FILLER_28_244,VSS,Metal1,140.2800,113.6800,0.000041
FILLER_28_236,VSS,Metal1,137.2530,114.1415,0.000041
FILLER_28_199,VSS,Metal1,115.0800,113.6800,0.000040
FILLER_28_183,VSS,Metal1,106.1200,113.6800,0.000040
FILLER_28_181,VSS,Metal1,105.2800,113.6800,0.000040
FILLER_28_177,VSS,Metal1,103.2200,114.0285,0.000040
FILLER_28_159,VSS,Metal1,92.6800,113.6800,0.000034
FILLER_28_155,VSS,Metal1,90.9000,114.0285,0.000034
FILLER_28_139,VSS,Metal1,85.0720,114.2280,0.000032
FILLER_28_107,VSS,Metal1,71.5640,114.2775,0.000030
FILLER_28_103,VSS,Metal1,61.6000,113.6800,0.000027
FILLER_28_99,VSS,Metal1,59.5400,114.0285,0.000027
FILLER_28_83,VSS,Metal1,53.7120,114.2280,0.000027
FILLER_28_45,VSS,Metal1,29.3000,114.0285,0.000026
FILLER_28_37,VSS,Metal1,25.8130,114.1415,0.000026
FILLER_28_34,VSS,Metal1,22.6800,113.6800,0.000026
FILLER_28_2,VSS,Metal1,12.7640,114.2775,0.000026
FILLER_27_308,VSS,Metal1,176.1200,113.6800,0.000043
FILLER_27_304,VSS,Metal1,174.3400,113.3310,0.000043
FILLER_27_296,VSS,Metal1,170.8530,113.2180,0.000043
FILLER_27_282,VSS,Metal1,161.5600,113.6800,0.000042
FILLER_27_279,VSS,Metal1,159.8800,113.6800,0.000041
FILLER_27_277,VSS,Metal1,159.0400,113.6800,0.000041
FILLER_27_273,VSS,Metal1,156.9800,113.3310,0.000041
FILLER_27_265,VSS,Metal1,153.4930,113.2180,0.000041
FILLER_27_227,VSS,Metal1,131.0400,113.6800,0.000041
FILLER_27_175,VSS,Metal1,101.6400,113.6800,0.000034
FILLER_27_173,VSS,Metal1,100.8000,113.6800,0.000034
FILLER_27_169,VSS,Metal1,98.7400,113.3310,0.000034
FILLER_27_150,VSS,Metal1,88.1000,113.3310,0.000032
FILLER_27_142,VSS,Metal1,84.6130,113.2180,0.000032
FILLER_27_136,VSS,Metal1,80.2600,113.3310,0.000030
FILLER_27_101,VSS,Metal1,60.2000,113.6800,0.000027
FILLER_27_97,VSS,Metal1,58.4200,113.3310,0.000027
FILLER_27_89,VSS,Metal1,54.9330,113.2180,0.000027
FILLER_27_74,VSS,Metal1,45.0800,113.6800,0.000026
FILLER_27_72,VSS,Metal1,44.2400,113.6800,0.000026
FILLER_27_69,VSS,Metal1,42.2800,113.6800,0.000026
FILLER_27_67,VSS,Metal1,41.4400,113.6800,0.000026
FILLER_27_59,VSS,Metal1,38.1330,113.2180,0.000026
FILLER_27_24,VSS,Metal1,17.0800,113.6800,0.000026
FILLER_27_20,VSS,Metal1,15.3000,113.3310,0.000026
FILLER_27_10,VSS,Metal1,9.7000,113.3310,0.000026
FILLER_27_2,VSS,Metal1,6.2130,113.2180,0.000026
FILLER_26_341,VSS,Metal1,194.8800,105.8400,0.000113
FILLER_26_333,VSS,Metal1,191.5730,106.3015,0.000113
FILLER_26_241,VSS,Metal1,139.0600,106.1885,0.000095
FILLER_26_177,VSS,Metal1,119.6845,106.4775,0.000097
FILLER_26_167,VSS,Metal1,98.6130,106.3015,0.000077
FILLER_26_129,VSS,Metal1,76.1600,105.8400,0.000076
FILLER_26_121,VSS,Metal1,72.8530,106.3015,0.000075
FILLER_26_69,VSS,Metal1,42.5600,105.8400,0.000053
FILLER_26_51,VSS,Metal1,32.4800,105.8400,0.000051
FILLER_26_47,VSS,Metal1,30.4200,106.1885,0.000051
FILLER_26_26,VSS,Metal1,18.2000,105.8400,0.000051
FILLER_26_18,VSS,Metal1,15.1730,106.3015,0.000051
FILLER_26_2,VSS,Metal1,8.3520,106.3880,0.000051
FILLER_25_336,VSS,Metal1,191.8000,105.8400,0.000113
FILLER_25_332,VSS,Metal1,190.0200,105.4910,0.000113
FILLER_25_272,VSS,Metal1,156.2400,105.8400,0.000105
FILLER_25_264,VSS,Metal1,152.9330,105.3780,0.000105
FILLER_25_248,VSS,Metal1,146.1120,105.2920,0.000105
FILLER_25_202,VSS,Metal1,118.2130,105.3780,0.000097
FILLER_25_179,VSS,Metal1,105.3330,105.3780,0.000097
FILLER_25_142,VSS,Metal1,83.1600,105.8400,0.000077
FILLER_25_139,VSS,Metal1,81.4800,105.8400,0.000077
FILLER_25_135,VSS,Metal1,79.7000,105.4910,0.000077
FILLER_25_111,VSS,Metal1,65.8000,105.8400,0.000075
FILLER_25_102,VSS,Metal1,60.7600,105.8400,0.000054
FILLER_25_100,VSS,Metal1,59.9200,105.8400,0.000054
FILLER_25_96,VSS,Metal1,57.8600,105.4910,0.000054
FILLER_25_88,VSS,Metal1,54.3730,105.3780,0.000054
FILLER_25_72,VSS,Metal1,45.4130,105.3780,0.000054
FILLER_25_69,VSS,Metal1,42.2800,105.8400,0.000053
FILLER_25_65,VSS,Metal1,40.5000,105.4910,0.000053
FILLER_25_58,VSS,Metal1,36.1200,105.8400,0.000053
FILLER_25_56,VSS,Metal1,35.2800,105.8400,0.000053
FILLER_25_52,VSS,Metal1,33.2200,105.4910,0.000052
FILLER_25_44,VSS,Metal1,29.7330,105.3780,0.000051
FILLER_24_341,VSS,Metal1,194.8800,98.0000,0.000090
FILLER_24_247,VSS,Metal1,145.5520,98.5480,0.000088
FILLER_24_173,VSS,Metal1,100.8000,98.0000,0.000065
FILLER_24_169,VSS,Metal1,98.7400,98.3485,0.000061
FILLER_24_161,VSS,Metal1,95.2530,98.4615,0.000060
FILLER_24_126,VSS,Metal1,74.2000,98.0000,0.000057
FILLER_24_99,VSS,Metal1,59.0800,98.0000,0.000055
FILLER_24_97,VSS,Metal1,58.2400,98.0000,0.000055
FILLER_24_93,VSS,Metal1,56.1800,98.3485,0.000055
FILLER_24_84,VSS,Metal1,50.6800,98.0000,0.000049
FILLER_24_82,VSS,Metal1,49.8400,98.0000,0.000049
FILLER_24_68,VSS,Metal1,42.1800,98.3485,0.000039
FILLER_24_60,VSS,Metal1,38.6930,98.4615,0.000037
FILLER_24_44,VSS,Metal1,31.8720,98.5480,0.000037
FILLER_24_39,VSS,Metal1,25.4800,98.0000,0.000036
FILLER_24_37,VSS,Metal1,24.6400,98.0000,0.000036
FILLER_24_34,VSS,Metal1,22.6800,98.0000,0.000036
FILLER_24_32,VSS,Metal1,21.8400,98.0000,0.000036
FILLER_24_2,VSS,Metal1,6.2130,98.4615,0.000036
FILLER_23_274,VSS,Metal1,157.0800,98.0000,0.000090
FILLER_23_258,VSS,Metal1,151.7120,97.4520,0.000089
FILLER_23_220,VSS,Metal1,127.3000,97.6510,0.000083
FILLER_23_212,VSS,Metal1,123.8130,97.5380,0.000083
FILLER_23_172,VSS,Metal1,100.4200,97.6510,0.000065
FILLER_23_156,VSS,Metal1,91.0000,98.0000,0.000060
FILLER_23_154,VSS,Metal1,90.1600,98.0000,0.000060
FILLER_23_150,VSS,Metal1,88.1000,97.6510,0.000060
FILLER_23_142,VSS,Metal1,83.4400,98.0000,0.000060
FILLER_23_139,VSS,Metal1,81.4800,98.0000,0.000060
FILLER_23_137,VSS,Metal1,80.6400,98.0000,0.000060
FILLER_23_133,VSS,Metal1,78.5800,97.6510,0.000059
FILLER_23_90,VSS,Metal1,54.0400,98.0000,0.000049
FILLER_23_86,VSS,Metal1,52.2600,97.6510,0.000049
FILLER_23_76,VSS,Metal1,46.4800,98.0000,0.000043
FILLER_23_72,VSS,Metal1,44.4200,97.6510,0.000042
FILLER_23_69,VSS,Metal1,42.2800,98.0000,0.000039
FILLER_23_67,VSS,Metal1,41.4400,98.0000,0.000037
FILLER_23_54,VSS,Metal1,34.1600,98.0000,0.000037
FILLER_23_48,VSS,Metal1,30.8000,98.0000,0.000037
FILLER_23_44,VSS,Metal1,28.7400,97.6510,0.000037
FILLER_23_22,VSS,Metal1,15.9600,98.0000,0.000036
FILLER_23_18,VSS,Metal1,14.1800,97.6510,0.000036
FILLER_23_2,VSS,Metal1,8.3520,97.4520,0.000036
FILLER_22_342,VSS,Metal1,195.1600,90.1600,0.000082
FILLER_22_340,VSS,Metal1,194.3200,90.1600,0.000082
FILLER_22_289,VSS,Metal1,165.9400,90.5085,0.000074
FILLER_22_279,VSS,Metal1,160.3400,90.5085,0.000069
FILLER_22_247,VSS,Metal1,149.9640,90.7575,0.000063
FILLER_22_244,VSS,Metal1,140.2800,90.1600,0.000062
FILLER_22_242,VSS,Metal1,139.4400,90.1600,0.000062
FILLER_22_230,VSS,Metal1,132.9000,90.5085,0.000060
FILLER_22_198,VSS,Metal1,122.5240,90.7575,0.000056
FILLER_22_182,VSS,Metal1,105.5600,90.1600,0.000054
FILLER_22_151,VSS,Metal1,88.4800,90.1600,0.000049
FILLER_22_141,VSS,Metal1,82.8800,90.1600,0.000047
FILLER_22_137,VSS,Metal1,80.8200,90.5085,0.000045
FILLER_22_121,VSS,Metal1,74.9920,90.7080,0.000042
FILLER_22_111,VSS,Metal1,65.8000,90.1600,0.000038
FILLER_22_107,VSS,Metal1,64.0200,90.5085,0.000038
FILLER_22_104,VSS,Metal1,61.8800,90.1600,0.000026
FILLER_22_102,VSS,Metal1,61.0400,90.1600,0.000026
FILLER_22_94,VSS,Metal1,57.7330,90.6215,0.000025
FILLER_22_78,VSS,Metal1,50.9120,90.7080,0.000025
FILLER_21_292,VSS,Metal1,167.1600,90.1600,0.000074
FILLER_21_290,VSS,Metal1,166.3200,90.1600,0.000074
FILLER_21_282,VSS,Metal1,163.0130,89.6980,0.000072
FILLER_21_272,VSS,Metal1,157.4130,89.6980,0.000063
FILLER_21_256,VSS,Metal1,150.5920,89.6120,0.000063
FILLER_21_240,VSS,Metal1,138.0400,90.1600,0.000062
FILLER_21_231,VSS,Metal1,133.0000,90.1600,0.000060
FILLER_21_229,VSS,Metal1,132.1600,90.1600,0.000056
FILLER_21_221,VSS,Metal1,128.8530,89.6980,0.000056
FILLER_21_212,VSS,Metal1,122.3600,90.1600,0.000056
FILLER_21_208,VSS,Metal1,120.4000,90.1600,0.000056
FILLER_21_192,VSS,Metal1,114.7520,89.6120,0.000055
FILLER_21_156,VSS,Metal1,91.2800,90.1600,0.000052
FILLER_21_152,VSS,Metal1,89.2200,89.8110,0.000050
FILLER_21_138,VSS,Metal1,81.2000,90.1600,0.000045
FILLER_21_130,VSS,Metal1,77.8930,89.6980,0.000042
FILLER_21_101,VSS,Metal1,61.6530,89.6980,0.000026
FILLER_21_61,VSS,Metal1,37.8000,90.1600,0.000022
FILLER_21_59,VSS,Metal1,36.9600,90.1600,0.000022
FILLER_21_51,VSS,Metal1,33.6530,89.6980,0.000022
FILLER_21_42,VSS,Metal1,27.1600,90.1600,0.000022
FILLER_21_38,VSS,Metal1,25.3800,89.8110,0.000022
FILLER_21_30,VSS,Metal1,21.8930,89.6980,0.000021
FILLER_21_24,VSS,Metal1,17.3600,90.1600,0.000021
FILLER_21_14,VSS,Metal1,11.7600,90.1600,0.000021
FILLER_20_325,VSS,Metal1,186.1000,82.6685,0.000040
FILLER_20_314,VSS,Metal1,179.4800,82.3200,0.000039
