net,length_um
_226_,7.84µm
signal_bit_out,7.7µm
_164_,7.38µm
_190_,7.38µm
_193_,7.38µm
_278_,7.38µm
_022_,7.28µm
_073_,7.28µm
_118_,7.28µm
_173_,7.28µm
_177_,7.28µm
_189_,7.28µm
_274_,7.28µm
_276_,7.28µm
_279_,7.28µm
signal_gen.noise_gen.noise_reg\[2\],7.28µm
rst_n,7.14µm
clk_scaler.counter\[5\],6.82µm
_035_,6.77µm
_068_,6.77µm
_260_,6.77µm
net37,6.72µm
_011_,6.72µm
_024_,6.72µm
_062_,6.72µm
_064_,6.72µm
_146_,6.72µm
_179_,6.72µm
_209_,6.72µm
_214_,6.72µm
_320_,6.72µm
_321_,6.72µm
signal_gen.noise_gen.noise_reg\[7\],6.72µm
_023_,6.26µm
_047_,6.16µm
_155_,6.16µm
_175_,6.16µm
_257_,6.16µm
signal_gen.periodA\[1\],6.16µm
_043_,5.7µm
_054_,5.65µm
_071_,5.65µm
_087_,5.65µm
_282_,5.65µm
_314_,5.65µm
_066_,5.6µm
_086_,5.6µm
_124_,5.6µm
_138_,5.6µm
_156_,5.6µm
_168_,5.6µm
_243_,5.6µm
_284_,5.6µm
_290_,5.6µm
_304_,5.6µm
_267_,5.14µm
_057_,5.09µm
_077_,5.09µm
_128_,5.09µm
_199_,5.09µm
_280_,5.09µm
_009_,5.04µm
_072_,5.04µm
_165_,5.04µm
_239_,5.04µm
_254_,5.04µm
_020_,4.48µm
_067_,4.48µm
_084_,4.48µm
_224_,4.48µm
_308_,4.48µm
_180_,3.97µm
_016_,3.92µm
_025_,3.92µm
_027_,3.92µm
_029_,3.92µm
_046_,3.92µm
_055_,3.92µm
_081_,3.92µm
_085_,3.92µm
_132_,3.92µm
_140_,3.92µm
_147_,3.92µm
_192_,3.92µm
_202_,3.92µm
_211_,3.92µm
_277_,3.92µm
_288_,3.92µm
_302_,3.92µm
_303_,3.92µm
_210_,3.46µm
_212_,3.46µm
_238_,3.46µm
_295_,3.46µm
_297_,3.46µm
net36,3.36µm
_018_,3.36µm
_019_,3.36µm
_033_,3.36µm
_040_,3.36µm
_041_,3.36µm
_053_,3.36µm
_095_,3.36µm
_098_,3.36µm
_104_,3.36µm
_114_,3.36µm
_178_,3.36µm
_225_,3.36µm
_294_,3.36µm
_052_,2.8µm
_059_,2.8µm
_154_,2.8µm
_232_,2.8µm
_307_,2.8µm
_144_,2.34µm
_172_,2.34µm
_291_,2.34µm
_316_,2.34µm
_032_,2.24µm
_083_,2.24µm
_131_,2.24µm
_142_,2.24µm
_203_,2.24µm
_216_,2.24µm
_271_,2.24µm
_309_,2.24µm
clk_scaler.counter\[6\],2.24µm
_319_,1.78µm
_136_,1.68µm
_205_,1.68µm
_206_,1.68µm
_252_,1.68µm
_289_,1.68µm
_296_,1.68µm
_298_,1.68µm
_167_,1.12µm
_218_,1.12µm
_220_,1.12µm
