net,length_um
net27,224.2µm
net10,189.84µm
net17,172.02µm
net24,164.38µm
net29,163.16µm
net34,157.61µm
net25,157.56µm
net33,155.93µm
net32,149.77µm
net26,148.5µm
net31,147.53µm
net23,147.07µm
net30,140.86µm
net19,140.25µm
_149_,138.72µm
net15,131.65µm
signal_gen.enableA,125.64µm
net12,124.52µm
net4,123.45µm
net20,116.27µm
net13,114.64µm
net28,110.52µm
signal_gen.envA_gen.state\[1\],107.72µm
net18,96.01µm
net5,92.6µm
_158_,91.94µm
_135_,91.43µm
signal_gen.volN\[3\],90.77µm
net22,89.85µm
signal_gen.envA\[1\],79.87µm
net14,79.16µm
signal_gen.envA\[3\],79.06µm
signal_gen.volA\[2\],71.93µm
clknet_1_0__leaf_clk,70.61µm
signal_gen.volA\[3\],70.15µm
_148_,70.05µm
signal_gen.volN\[2\],70.05µm
net21,69.03µm
_106_,68.47µm
clknet_1_1__leaf_clk,67.86µm
_176_,66.84µm
signal_gen.volA\[1\],66.13µm
signal_gen.envA_gen.state\[0\],65.06µm
_163_,62.21µm
_121_,61.7µm
_162_,60.58µm
clk_scaler.counter\[3\],57.73µm
net16,57.27µm
net6,56.15µm
signal_gen.mix.mixout\[2\],55.44µm
signal_gen.volA\[0\],53.91µm
signal_gen.mix.started,53.86µm
_171_,51.67µm
clk_scaler.counter\[0\],51.06µm
_237_,50.55µm
_187_,50.04µm
signal_gen.envA_gen.timer\[2\],45.46µm
net9,44.29µm
signal_gen.tonegenA.counter\[0\],43.83µm
_152_,42.76µm
clk_scaler.counter\[1\],42.71µm
signal_gen.noise_gen.noise_reg\[12\],42.71µm
signal_gen.volN\[0\],42.1µm
_100_,41.54µm
signal_gen.pwmGen.clk_cnt\[5\],41.44µm
_200_,40.62µm
signal_gen.tonegenA.counter\[4\],40.37µm
signal_gen.mix.n_val\[2\],40.32µm
_317_,39.91µm
_115_,39.3µm
_266_,39.3µm
signal_gen.mix.n_val\[1\],39.3µm
signal_gen.tonegenA.counter\[3\],39.3µm
_088_,37.01µm
signal_gen.tonegenA.counter\[5\],36.45µm
signal_gen.envA\[2\],35.38µm
signal_gen.mix.waveA,35.33µm
signal_gen.pwmGen.clk_cnt\[6\],34.87µm
clk_scaler.counter\[2\],34.82µm
signal_gen.tonegenA.counter\[2\],34.26µm
_125_,34.21µm
signal_gen.pwmGen.clk_cnt\[1\],33.65µm
_102_,33.19µm
_123_,33.09µm
net11,33.09µm
_143_,32.58µm
signal_gen.envA\[0\],32.58µm
_090_,32.48µm
signal_gen.pwmGen.clk_cnt\[4\],32.12µm
signal_gen.mix.a_val\[4\],32.02µm
signal_gen.volN\[1\],32.02µm
_244_,31.97µm
signal_gen.mix.n_val\[4\],31.51µm
signal_gen.mix.noise,31.51µm
_315_,31.41µm
_099_,30.95µm
_222_,30.85µm
net7,30.8µm
net1,30.29µm
net2,29.83µm
signal_gen.pwmGen.clk_cnt\[0\],29.73µm
signal_gen.mix.n_val\[3\],29.22µm
_208_,28.66µm
_117_,28.61µm
signal_gen.mix.a_val\[2\],28.1µm
_038_,28.05µm
_141_,28.05µm
signal_gen.enableN,28.05µm
net8,27.49µm
_037_,26.93µm
_188_,26.93µm
signal_gen.mix.sum\[5\],26.93µm
signal_gen.noise_gen.noise_reg\[4\],26.37µm
signal_gen.mix.a_val\[3\],25.86µm
_236_,25.81µm
_120_,25.35µm
_048_,25.25µm
signal_gen.noise_gen.noise_reg\[6\],25.25µm
_219_,24.74µm
signal_gen.mix.sum\[1\],24.74µm
_039_,24.69µm
_251_,24.69µm
_261_,24.69µm
signal_gen.envA_gen.timer\[0\],24.69µm
_119_,24.13µm
signal_gen.envA_gen.timer\[1\],24.13µm
signal_gen.noise_gen.noise_reg\[5\],24.13µm
signal_gen.mix.mixout\[7\],23.57µm
_174_,23.01µm
_312_,23.01µm
signal_gen.mix.a_val\[1\],23.01µm
_109_,22.96µm
net3,22.96µm
_230_,22.6µm
_139_,22.55µm
_185_,22.5µm
_201_,22.5µm
_247_,22.5µm
_229_,22.45µm
_287_,21.94µm
signal_gen.pwmGen.clk_cnt\[2\],21.94µm
_133_,21.89µm
_256_,21.89µm
_094_,21.84µm
_096_,21.84µm
data_in[4],21.7µm
signal_gen.envA_gen.timer\[3\],21.43µm
signal_gen.mix.mixout\[3\],21.38µm
_003_,21.28µm
_227_,21.28µm
_113_,20.77µm
_134_,20.72µm
_233_,20.26µm
_137_,20.21µm
_145_,20.21µm
_159_,20.21µm
_281_,20.21µm
signal_gen.tonegenA.counter\[1\],19.75µm
clk_scaler.counter\[4\],19.65µm
_221_,19.6µm
signal_gen.mix.sum\[2\],19.6µm
_313_,19.14µm
clknet_0_clk,19.09µm
_110_,19.09µm
write_strobe_in,18.95µm
_248_,18.07µm
_093_,18.02µm
_293_,18.02µm
signal_gen.tonegenA.counter\[6\],18.02µm
_017_,17.97µm
_097_,17.97µm
data_in[2],17.78µm
data_in[3],17.78µm
signal_gen.pwmGen.clk_cnt\[3\],17.56µm
_259_,17.51µm
_299_,17.46µm
_184_,17.41µm
_269_,17.41µm
_305_,17.36µm
clk_scaled,17.36µm
signal_gen.noise_gen.noise_reg\[11\],17.36µm
data_in[0],17.22µm
_079_,16.85µm
_217_,16.85µm
_285_,16.85µm
signal_gen.noise_gen.noise_reg\[13\],16.85µm
signal_gen.periodA\[3\],16.85µm
address_in[1],16.66µm
_268_,16.34µm
_161_,16.29µm
signal_gen.mix.a_val\[0\],16.29µm
_080_,16.24µm
_262_,16.24µm
data_in[1],16.1µm
_150_,15.83µm
signal_gen.periodA\[2\],15.78µm
_021_,15.73µm
_215_,15.68µm
_322_,15.68µm
_223_,15.27µm
_108_,15.22µm
_026_,15.17µm
signal_gen.mix.sum\[3\],15.17µm
signal_gen.noise_gen.noise_reg\[10\],15.17µm
signal_gen.noise_gen.noise_reg\[9\],15.17µm
_151_,15.12µm
clk_scaler.counter\[7\],15.12µm
net35,15.12µm
_228_,14.66µm
_231_,14.66µm
_013_,14.61µm
_153_,14.61µm
signal_gen.mix.sum\[0\],14.61µm
_194_,14.15µm
_014_,14.05µm
_050_,14.05µm
_283_,14.05µm
_111_,14µm
_112_,14µm
_245_,14µm
_300_,14µm
signal_gen.mix.sum\[4\],14µm
ena,13.86µm
_105_,13.54µm
_070_,13.49µm
signal_gen.noise_gen.feedback,13.49µm
signal_gen.noise_gen.noise_reg\[0\],13.49µm
_186_,13.44µm
_241_,13.44µm
address_in[0],13.3µm
_191_,12.98µm
_234_,12.98µm
_092_,12.93µm
_195_,12.93µm
_235_,12.93µm
_240_,12.93µm
signal_gen.noise_gen.noise_reg\[8\],12.93µm
_010_,12.88µm
_103_,12.47µm
_089_,12.42µm
_107_,12.42µm
_069_,12.37µm
_091_,12.37µm
_265_,12.37µm
_002_,12.32µm
_310_,12.32µm
clk,12.18µm
_182_,11.86µm
_004_,11.81µm
_116_,11.81µm
_306_,11.81µm
_044_,11.76µm
_170_,11.76µm
_204_,11.76µm
_129_,11.3µm
_157_,11.3µm
_246_,11.3µm
_270_,11.3µm
_000_,11.25µm
_008_,11.25µm
_101_,11.25µm
_160_,11.25µm
_183_,11.25µm
_250_,11.25µm
_253_,11.25µm
address_in[2],11.06µm
_263_,10.74µm
_311_,10.74µm
_207_,10.69µm
_255_,10.69µm
_301_,10.69µm
_028_,10.64µm
_063_,10.64µm
signal_gen.pwmGen.clk_cnt\[7\],10.64µm
_042_,10.18µm
_015_,10.13µm
_030_,10.13µm
_122_,10.13µm
_181_,10.13µm
_272_,10.13µm
_286_,10.08µm
signal_gen.periodA\[0\],10.08µm
_242_,9.67µm
_051_,9.57µm
_273_,9.57µm
_318_,9.57µm
signal_gen.mix.mixout\[4\],9.57µm
_065_,9.52µm
_169_,9.52µm
signal_gen.tonegenA.counter\[7\],9.52µm
_213_,9.11µm
_034_,9.06µm
_056_,9.06µm
_292_,9.06µm
signal_gen.noise_gen.noise_reg\[3\],9.06µm
signal_gen.periodA\[4\],9.01µm
_074_,8.96µm
_126_,8.96µm
_264_,8.96µm
_275_,8.96µm
signal_gen.mix.mixout\[5\],8.96µm
_130_,8.5µm
_012_,8.45µm
_049_,8.45µm
_076_,8.45µm
_045_,8.4µm
_058_,8.4µm
_060_,8.4µm
_082_,8.4µm
_258_,8.4µm
_196_,7.94µm
_249_,7.94µm
signal_gen.mix.mixout\[6\],7.94µm
_001_,7.89µm
_036_,7.89µm
_127_,7.89µm
_198_,7.89µm
_031_,7.84µm
_061_,7.84µm
_075_,7.84µm
_078_,7.84µm
_166_,7.84µm
_197_,7.84µm
